"id";"incept";"src";"description";"contextual";"inside";"window";"more_than_one_sign";"lat";"lng";"island";"city";"neighborhood";"street";"language_typology";"languages";"landmarks";"producer";"type";"transcription";"is_duplicate";"rhizome"
"79";"2017-02-03";"blue lani tag 2.jpg";"blue lani tag 2";"0";"1";"0";"0";"21.395094444444442";"-157.74539166666665";"Oahu";"Kailua ";"Kailua";"Oneawa St";"1";"Jp";;"bus";"cont";"blue lani tag";"0";"0"
"80";"2017-02-03";"blue lani tag.jpg";"blue lani tag";"0";"1";"0";"0";"21.39511388888889";"-157.74537777777778";"Oahu";"Kailua ";"Kailua";"Oneawa St";"1";"Jp";;"bus";"cont";"blue lani tag";"0";"0"
"81";"2017-02-03";"blue lani tag.jpg";"blue lani tag";"0";"1";"0";"0";"0";"0";"Oahu";"Kailua ";"Kailua";"Oneawa St";"1";"Jp, Eng";;"bus";"cont";"blue lani tag";"0";"0"
"82";"2017-02-03";"blue lani.jpg";"blue lani";"0";"0";"0";"0";"21.395133333333334";"-157.74534722222222";"Oahu";"Kailua ";"Kailua";"Oneawa St";"2";"Eng, Hwn";;"bus";"cont";"blue lani";"0";"0"
"83";"2017-03-25";"bookend poster.jpg";"bookend poster";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua ";"Kailua";"Kailua Rd";"1";"Eng";;"bus";"con";"bookend poster";"0";"0"
"84";"2017-03-25";"Bookend.jpg";"Bookend";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua ";"Kailua";"Kailua Rd";"1";"Eng";;"bus";"con";"Shopname bookend";"0";"0"
"85";"2016-10-28";"bookstore mahalo Kailua_Oahu.jpg";"bookstore mahalo Kailua_Oahu";"0";"1";"0";"0";"0";"0";"Oahu";"Kailua";"Kailua";"Kailua Rd.";"2";"Eng, Hwn";;"bus";"decont";"cell phone free zone kokua mahalo";"0";"0"
"86";"2016-10-28";"Boots and Kimos door.jpg";"Boots and Kimos door";"0";"0";"0";"1";"0";"0";"Oahu";"Kailua";"Kailua";"Hekili St.";"2";"Eng, Jp";;"bus";"cont";"Keep door closed";"0";"0"
"87";"2017-03-25";"Boots and Kimos menu outside.jpg";"Boots and Kimo's menu outside";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua ";"Kailua";"Hahani St";"2";"Jp, Hwn";;"bus";"cont";"menu at boots and kimo's";"0";"0"
"88";"2017-03-25";"Boots and Kimos sign all parties need to be present.jpg";"Boots and Kimo's sign all parties need to be present";"0";"0";"0";"0";"21.392044444444444";"-157.7405861111111";"Oahu";"Kailua ";"Kailua";"Hahani St";"1";"Eng";;"bus";"cont";"Boots and Kimo's sign all parties need to be present";"0";"0"
